method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
full,32,777 778 779 780 781,777,runs/ablations_paper/full_seed_777/best_agent.pt,4061693354ea,heldout_validation_mse,0.051880874612834305,runs/ablations_paper/validation_task_bank.npz,f02ee14e0ce8,cpu,cpu:x86_64,9291.24082719395,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07212535728576283,0.07093235594687673,0.07341104533133717,0.0708603784441948,0.0343801099807024,3.7644214636484783,1.5202074685539289,1.6537587747055416,6.434976615966729,37.19711878833672,8.496690072908272,39.31759533062965,0.43897644459570523,1.8114018704858434,777:0.07174762;778:0.071121324;779:0.073318495;780:0.071280433;781:0.073158915
full,64,777 778 779 780 781,777,runs/ablations_paper/full_seed_777/best_agent.pt,4061693354ea,heldout_validation_mse,0.051880874612834305,runs/ablations_paper/validation_task_bank.npz,d120e8d9c7d1,cpu,cpu:x86_64,9291.24082719395,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07058392777914803,0.0693502894540783,0.07181870590924906,0.06896233931183815,0.03367359098047018,4.551088273366292,1.5499264547316773,1.6990378289483488,6.911726388120939,37.33466168357214,9.009760898210246,39.499803882014625,0.08061123867987324,3.5720242997169294,777:0.070390729;778:0.071367652;779:0.070565894;780:0.069167053;781:0.071428311
full,128,777 778 779 780 781,777,runs/ablations_paper/full_seed_777/best_agent.pt,4061693354ea,heldout_validation_mse,0.051880874612834305,runs/ablations_paper/validation_task_bank.npz,c6e89fa27a1a,cpu,cpu:x86_64,9291.24082719395,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.0712841684371233,0.0699569812548502,0.0727250753883738,0.06891177967190742,0.035473051480948925,5.612007679621379,1.721077548342119,1.7916710875967208,8.331322007836274,42.33087714631498,10.661576290696825,44.68567851439972,0.14825354505468297,6.636138966991104,777:0.070974249;778:0.070363197;779:0.071751283;780:0.070495831;781:0.072836281
full,256,777 778 779 780 781,777,runs/ablations_paper/full_seed_777/best_agent.pt,4061693354ea,heldout_validation_mse,0.051880874612834305,runs/ablations_paper/validation_task_bank.npz,c9281380fe50,cpu,cpu:x86_64,9291.24082719395,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07069625436576704,0.06930438703807691,0.07208204186519918,0.06751306354999542,0.03814774286001921,7.049575912475586,1.7310593501315452,1.79992182465503,9.371996755631969,42.53833860711893,11.711249691190595,44.90223323617829,0.01943242432027267,14.303546662610591,777:0.069684793;778:0.07150647;779:0.072154407;780:0.068962943;781:0.071172659
full,512,777 778 779 780 781,777,runs/ablations_paper/full_seed_777/best_agent.pt,4061693354ea,heldout_validation_mse,0.051880874612834305,runs/ablations_paper/validation_task_bank.npz,0c0a58dc4510,cpu,cpu:x86_64,9291.24082719395,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07241243612859398,0.07099906538773018,0.07392427651422719,0.06858037784695625,0.037939137779176235,9.256986466089884,1.725927736517473,1.7911887352820486,11.068945780752173,42.07724094303558,13.399701355240754,44.42338056076551,0.010711331355198231,33.8830680772025,777:0.073303145;778:0.072150089;779:0.071166655;780:0.072697715;781:0.072744576
full,32,777 778 779 780 781,778,runs/ablations_paper/full_seed_778/best_agent.pt,41e9e8c6ccde,heldout_validation_mse,0.06812999618705362,runs/ablations_paper/validation_task_bank.npz,f02ee14e0ce8,cpu,cpu:x86_64,8085.786412343965,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07410979165571431,0.07288269135050164,0.07545957665001042,0.07184265926480293,0.03430520091205835,3.7968183892567953,1.6951026905724709,1.7658065293799154,8.1993454542481,40.45144586321354,10.477881028347097,42.739817868937585,0.02556662724116847,10.03647754979267,777:0.074440102;778:0.073013209;779:0.072607527;780:0.076038011;781:0.074450109
full,64,777 778 779 780 781,778,runs/ablations_paper/full_seed_778/best_agent.pt,41e9e8c6ccde,heldout_validation_mse,0.06812999618705362,runs/ablations_paper/validation_task_bank.npz,d120e8d9c7d1,cpu,cpu:x86_64,8085.786412343965,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07361096195504069,0.0723262997848913,0.0748903680779195,0.07137750461697578,0.03222488332539797,4.48710498936971,1.5645094578158696,1.644879273022525,8.519263996229576,37.559096547522735,10.624022592171698,39.68490114088248,0.011402758762361135,72.42970529938854,777:0.074437202;778:0.073109344;779:0.073008811;780:0.07502678;781:0.072472673
full,128,777 778 779 780 781,778,runs/ablations_paper/full_seed_778/best_agent.pt,41e9e8c6ccde,heldout_validation_mse,0.06812999618705362,runs/ablations_paper/validation_task_bank.npz,c6e89fa27a1a,cpu,cpu:x86_64,8085.786412343965,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.0731099241649111,0.07184183431318962,0.07447820849774095,0.07072639092803001,0.03428566735237837,5.467106911977132,1.5173902338353433,1.610698572321174,9.550338478730906,35.56765837296067,11.592568698746618,37.64624854495438,0.005460986206936281,153.56866500119096,777:0.072162737;778:0.072522459;779:0.072656292;780:0.075515977;781:0.072692156
full,256,777 778 779 780 781,778,runs/ablations_paper/full_seed_778/best_agent.pt,41e9e8c6ccde,heldout_validation_mse,0.06812999618705362,runs/ablations_paper/validation_task_bank.npz,c9281380fe50,cpu,cpu:x86_64,8085.786412343965,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07372583897225558,0.07226990482364781,0.07511318610732753,0.07037998363375664,0.0375983826816082,6.976100757598877,1.8200153085765323,2.114760718230779,12.636092433483874,38.738145975124404,15.101545650725408,41.376185293949675,0.0024397908330669573,241.59372258969472,777:0.073947977;778:0.073094739;779:0.072866699;780:0.074565122;781:0.074154658
full,512,777 778 779 780 781,778,runs/ablations_paper/full_seed_778/best_agent.pt,41e9e8c6ccde,heldout_validation_mse,0.06812999618705362,runs/ablations_paper/validation_task_bank.npz,0c0a58dc4510,cpu,cpu:x86_64,8085.786412343965,info_gain,,runs/ablations_paper/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.07628509191361567,0.07475214708349669,0.07775352249848656,0.07205255329608917,0.03840016108006239,8.852519882837932,1.6593490653063376,1.7309821235830896,15.434103306497153,38.888925240413904,17.674750384277473,41.152130152001824,0.0010713771774063057,1125.7887241511532,777:0.076817878;778:0.076072844;779:0.073835705;780:0.077884834;781:0.076814198
