shots,reference,baseline,paired_tasks,wilcoxon_nonzero_pairs,reference_mse_mean,reference_mse_median,reference_mse_iqr,baseline_mse_mean,baseline_mse_median,baseline_mse_iqr,mse_delta_reference_minus_baseline,mse_ratio_reference_over_baseline,mse_ratio_ci95_lo,mse_ratio_ci95_hi,reference_decision_ms_mean,baseline_decision_ms_mean,latency_speedup_baseline_over_reference,latency_speedup_ci95_lo,latency_speedup_ci95_hi,wilcoxon_w,wilcoxon_p,wilcoxon_p_bh,wilcoxon_p_holm,cliffs_delta,rank_biserial
32,symqnet,dad_transformer,2500,2500,0.07184803008906543,0.07112514749169349,0.029118018783628935,0.06801377170834691,0.0666884645819664,0.027967820502817632,0.0038342583807185293,1.056374735357427,1.048568147009502,1.0649246770893326,1.6702203307766468,0.8077244574354134,0.4836035357441879,0.4822934905851225,0.4849292612406408,1066819.0,5.099262104237259e-43,5.883763966427607e-43,2.5496310521186295e-42,0.1084592,0.31750883646541384
32,symqnet,random,2500,2500,0.07184803008906543,0.07112514749169349,0.029118018783628935,0.04830571274841204,0.04251140542328358,0.03598227631300688,0.023542317340653388,1.487360935201754,1.4559842100506122,1.521864026998346,1.6702203307766468,0.029816845801865884,0.017852043381606515,0.017615166456477788,0.018074724272035717,410299.0,7.811140115643499e-224,1.2333379129963419e-223,9.373368138772199e-223,0.54601824,0.7375136345461816
32,symqnet,fixed,2500,2500,0.07184803008906543,0.07112514749169349,0.029118018783628935,0.051875731799565256,0.04804762825369835,0.03277341648936272,0.019972298289500177,1.3850027285719668,1.360702572026209,1.4115109505256966,1.6702203307766468,0.002355863073737257,0.0014105103562245518,0.001406106148663634,0.001415213190747834,422764.0,4.587658760460471e-219,6.881488140690708e-219,5.046424636506518e-218,0.49407808,0.7295392243102758
32,symqnet,fixed_optimized,2500,2500,0.07184803008906543,0.07112514749169349,0.029118018783628935,0.03757048304732889,0.03061178419739008,0.031231521163135767,0.03427754704173654,1.9123531097153017,1.858612634664753,1.9658003805963526,1.6702203307766468,0.013575968653377561,0.00812825014952655,0.002206355921570107,0.015525827914684598,179030.0,0.0,0.0,0.0,0.7190768,0.8854666133546581
32,symqnet,fisher_greedy_fast,2500,2500,0.07184803008906543,0.07112514749169349,0.029118018783628935,0.04447182130729779,0.03738497942686081,0.03393567679449916,0.02737620878176764,1.6155855095881855,1.5755740420837019,1.65772610422989,1.6702203307766468,103.20257923500871,61.78979942545656,61.576143785659525,61.997041865009315,332906.0,1.3353790638955575e-254,2.3565512892274546e-254,1.8695306894537804e-253,0.60839264,0.787025349860056
32,symqnet,bald_2step_fast,2500,2500,0.07184803008906543,0.07112514749169349,0.029118018783628935,0.05604703906001523,0.04901404120028019,0.04059035889804363,0.0158009910290502,1.281923742878379,1.2512631233745126,1.3087768301227465,1.6702203307766468,66.08702873328521,39.567850729343576,39.43342873081252,39.70561094475207,729841.0,6.442908054471817e-118,8.053635068089773e-118,4.5100356381302725e-117,0.39717216,0.533088524590164
64,symqnet,dad_transformer,2500,2500,0.07249746302794666,0.07099380306899547,0.030410453770309695,0.06830353947293945,0.06626957133412362,0.027816775068640713,0.004193923555007204,1.061401262472917,1.0522175511689107,1.070346863095013,1.546785116408072,0.8242093875173788,0.5328531925826576,0.5306317286372106,0.5350160921991128,1074279.0,8.687722302690742e-42,9.65302478076749e-42,3.4750889210762966e-41,0.11650464,0.3127363454618153
64,symqnet,random,2500,2500,0.07249746302794666,0.07099380306899547,0.030410453770309695,0.045374161947425454,0.03904738090932369,0.036447515711188316,0.027123301080521196,1.5977697419943244,1.5569985784582776,1.6391719115752486,1.546785116408072,0.02956624946091324,0.01911464569142718,0.018850082021020044,0.019374303588093226,349610.0,8.609638847109314e-248,1.4349398078515523e-247,1.1192530501242107e-246,0.59567264,0.7763390643742503
64,symqnet,fixed,2500,2500,0.07249746302794666,0.07099380306899547,0.030410453770309695,0.04730790013279766,0.0425134152173996,0.03321408247575164,0.025189562895148992,1.5324599659769205,1.5026257142508317,1.5637125490671269,1.546785116408072,0.0011220507996363774,0.0007254083244878849,0.0007237146193206134,0.0007270920219182032,315350.0,7.391733147695714e-262,1.3859499651929462e-261,1.108759972154357e-260,0.58283424,0.7982566973210715
64,symqnet,fixed_optimized,2500,2500,0.07249746302794666,0.07099380306899547,0.030410453770309695,0.03317942762351595,0.026338405907154083,0.03007123270072043,0.039318035404430705,2.185012467682354,2.1230571402237257,2.252008148730361,1.546785116408072,0.016348916085229977,0.010569610420867804,0.0034412462932458844,0.019491427713848913,120650.0,0.0,0.0,0.0,0.7762944,0.9228148740503799
