method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
random,32,777 778 779 780 781,,,,,,,9284aacc8d45,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",2500.0,0.04830571274841204,0.04710292035819497,0.049363615642492656,0.04251140542328358,0.03598227631300688,13.637227046203613,0.029816845801865884,0.07190803908742964,55.88080922855944,62.03637579997303,56.52733277573845,62.7864719985635,,,777:0.047227845;778:0.050047787;779:0.047985078;780:0.0488169;781:0.047450954
random,64,777 778 779 780 781,,,,,,,fd42f2b6a910,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",2500.0,0.045374161947425454,0.04420357952069492,0.046470996415547555,0.03904738090932369,0.036447515711188316,16.220972022628786,0.02956624946091324,0.07176573768956587,56.12276527589937,62.22339624958113,56.777575593133875,62.993040556821505,,,777:0.045604316;778:0.046068803;779:0.044060253;780:0.04511306;781:0.046024378
random,128,777 778 779 780 781,,,,,,,db9060998d35,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",2500.0,0.04253508624006063,0.0413763742462825,0.043652267574553844,0.03447222523391247,0.03597345110028982,18.64456205215454,0.029966286366753695,0.07223006744170561,56.320032207052115,62.140122467686886,56.974156678760316,62.904357491096015,,,777:0.041018809;778:0.044127303;779:0.040708595;780:0.044889126;781:0.041931598
random,256,777 778 779 780 781,,,,,,,9209ad50a98e,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",2500.0,0.041071343513950705,0.03991250666842796,0.04229043215135811,0.032489046454429626,0.03893673699349165,21.424503637695313,0.029178154665148916,0.038114986824803056,46.05757457672541,49.66575987654505,46.624256791637485,50.24344211216085,,,777:0.04131298;778:0.039999803;779:0.041171552;780:0.04098611;781:0.041886272
random,512,777 778 779 780 781,,,,,,,6144ac45c9d3,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",2500.0,0.03734254194214009,0.036155165025946914,0.03863205839765957,0.028238053433597088,0.0369893372990191,24.996573641967775,0.02932586918145211,0.0382270042784512,46.154145816347516,49.6010723934276,46.724737230756894,50.181747056322635,,,777:0.040050942;778:0.037904752;779:0.034133534;780:0.03643885;781:0.038184633
fixed,32,777 778 779 780 781,,,,,,,213fd958a279,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",2500.0,0.051875731799565256,0.05081983484466095,0.05281190990064759,0.04804762825369835,0.03277341648936272,7.882801047515869,0.002355863073737257,0.003066185559146106,45.28231321536652,47.020509310334454,45.8389508907916,47.58295794915175,,,777:0.050230177;778:0.050096797;779:0.054098117;780:0.05230309;781:0.052650477
fixed,64,777 778 779 780 781,,,,,,,8ab4ba545b52,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",2500.0,0.04730790013279766,0.046331833049347626,0.04820869261945132,0.0425134152173996,0.03321408247575164,11.459024950408935,0.0011220507996363774,0.0012749127694405616,35.05425708611729,36.4269459836767,35.45544215037047,36.83156083313516,,,777:0.045796821;778:0.048124131;779:0.047662549;780:0.045672549;781:0.049283449
fixed,128,777 778 779 780 781,,,,,,,bc938f43ca96,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",2500.0,0.04298036575317383,0.04200232453854987,0.044000301572317255,0.0373007170855999,0.032626546919345856,14.252527363586426,0.0011859752056706282,0.0013433865387924016,34.831526529340124,36.1206614183262,35.22950833737074,36.52318983237492,,,777:0.043349487;778:0.044332;779:0.042556625;780:0.04358623;781:0.041077488
fixed,256,777 778 779 780 781,,,,,,,0aef24a80e38,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",2500.0,0.039571235921327025,0.038448778030085375,0.040660438621055804,0.032223036512732506,0.03240971406921744,16.599103776931763,0.0011215681779301828,0.0012631865567527712,35.05603422721874,36.41419384883484,35.45888584489649,36.82180935675278,,,777:0.040393019;778:0.039538058;779:0.038638457;780:0.038970706;781:0.04031594
fixed,512,777 778 779 780 781,,,,,,,47e485a61ea0,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",2500.0,0.03250387087422423,0.03156787793214782,0.03344053843589267,0.026070335879921913,0.029544204473495483,18.776184284210206,0.001118312963646733,0.001273913902696222,34.94534922232722,36.29513577170437,35.34507078560742,36.698921353800685,,,777:0.032156286;778:0.032477155;779:0.03403935;780:0.03063018;781:0.033216383
