method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
random,32,36,100.0,0.029816845801865884,55.88080922855944,3.2,55.91062607436131,2127.982538677007
random,32,36,1000.0,0.029816845801865884,55.88080922855944,32.0,55.91062607436131,3164.7825386770073
random,32,36,10000.0,0.029816845801865884,55.88080922855944,320.0,55.91062607436131,13532.782538677006
random,64,36,100.0,0.02956624946091324,56.12276527589937,6.4,56.15233152536028,2251.8839349129703
random,64,36,1000.0,0.02956624946091324,56.12276527589937,64.0,56.15233152536028,4325.48393491297
random,64,36,10000.0,0.02956624946091324,56.12276527589937,640.0,56.15233152536028,25061.48393491297
random,128,36,100.0,0.029966286366753695,56.320032207052115,12.8,56.349998493418866,2489.39994576308
random,128,36,1000.0,0.029966286366753695,56.320032207052115,128.0,56.349998493418866,6636.599945763079
random,128,36,10000.0,0.029966286366753695,56.320032207052115,1280.0,56.349998493418866,48108.599945763075
random,256,36,100.0,0.029178154665148916,46.05757457672541,25.6,46.086752731390554,2580.72309833006
random,256,36,1000.0,0.029178154665148916,46.05757457672541,256.0,46.086752731390554,10875.12309833006
random,256,36,10000.0,0.029178154665148916,46.05757457672541,2560.0,46.086752731390554,93819.12309833006
random,512,36,100.0,0.02932586918145211,46.154145816347516,51.2,46.183471685528964,3505.804980679043
random,512,36,1000.0,0.02932586918145211,46.154145816347516,512.0,46.183471685528964,20094.604980679043
random,512,36,10000.0,0.02932586918145211,46.154145816347516,5120.0,46.183471685528964,185982.60498067905
fixed,32,36,100.0,0.002355863073737257,45.28231321536652,3.2,45.28466907844026,1745.4480868238495
fixed,32,36,1000.0,0.002355863073737257,45.28231321536652,32.0,45.28466907844026,2782.2480868238495
fixed,32,36,10000.0,0.002355863073737257,45.28231321536652,320.0,45.28466907844026,13150.248086823849
fixed,64,36,100.0,0.0011220507996363774,35.05425708611729,6.4,35.055379136916926,1492.3936489290093
fixed,64,36,1000.0,0.0011220507996363774,35.05425708611729,64.0,35.055379136916926,3565.9936489290094
fixed,64,36,10000.0,0.0011220507996363774,35.05425708611729,640.0,35.055379136916926,24301.99364892901
fixed,128,36,100.0,0.0011859752056706282,34.831526529340124,12.8,34.832712504545796,1714.7776501636486
fixed,128,36,1000.0,0.0011859752056706282,34.831526529340124,128.0,34.832712504545796,5861.977650163648
fixed,128,36,10000.0,0.0011859752056706282,34.831526529340124,1280.0,34.832712504545796,47333.97765016365
fixed,256,36,100.0,0.0011215681779301828,35.05603422721874,25.6,35.05715579539667,2183.65760863428
fixed,256,36,1000.0,0.0011215681779301828,35.05603422721874,256.0,35.05715579539667,10478.05760863428
fixed,256,36,10000.0,0.0011215681779301828,35.05603422721874,2560.0,35.05715579539667,93422.05760863428
fixed,512,36,100.0,0.001118312963646733,34.94534922232722,51.2,34.94646753529087,3101.272831270471
fixed,512,36,1000.0,0.001118312963646733,34.94534922232722,512.0,34.94646753529087,19690.07283127047
fixed,512,36,10000.0,0.001118312963646733,34.94534922232722,5120.0,34.94646753529087,185578.0728312705
fixed_optimized,32,36,100.0,0.013575968653377561,37.25482120953966,3.2,37.268397178193034,1456.8622984149492
fixed_optimized,32,36,1000.0,0.013575968653377561,37.25482120953966,32.0,37.268397178193034,2493.662298414949
fixed_optimized,32,36,10000.0,0.013575968653377561,37.25482120953966,320.0,37.268397178193034,12861.662298414949
fixed_optimized,64,36,100.0,0.016348916085229977,41.4073814447219,6.4,41.42373036080713,1721.6542929890568
fixed_optimized,64,36,1000.0,0.016348916085229977,41.4073814447219,64.0,41.42373036080713,3795.2542929890565
fixed_optimized,64,36,10000.0,0.016348916085229977,41.4073814447219,640.0,41.42373036080713,24531.254292989055
fixed_optimized,128,36,100.0,0.01650867586851948,41.639639613095724,12.8,41.656148288964246,1960.4213384027128
fixed_optimized,128,36,1000.0,0.01650867586851948,41.639639613095724,128.0,41.656148288964246,6107.621338402712
fixed_optimized,128,36,10000.0,0.01650867586851948,41.639639613095724,1280.0,41.656148288964246,47579.621338402714
fixed_optimized,256,36,100.0,0.016323615817560092,41.84705826745809,25.6,41.86338188327565,2428.681747797923
fixed_optimized,256,36,1000.0,0.016323615817560092,41.84705826745809,256.0,41.86338188327565,10723.081747797922
fixed_optimized,256,36,10000.0,0.016323615817560092,41.84705826745809,2560.0,41.86338188327565,93667.08174779793
fixed_optimized,512,36,100.0,0.01593401672370318,41.438807847315914,51.2,41.45474186403962,3335.570707105426
fixed_optimized,512,36,1000.0,0.01593401672370318,41.438807847315914,512.0,41.45474186403962,19924.370707105427
fixed_optimized,512,36,10000.0,0.01593401672370318,41.438807847315914,5120.0,41.45474186403962,185812.37070710544
fisher_greedy_fast,32,36,100.0,103.20257923500871,0.31774553213165035,3.2,103.52032476714037,3841.9316916170533
fisher_greedy_fast,32,36,1000.0,103.20257923500871,0.31774553213165035,32.0,103.52032476714037,4878.731691617054
fisher_greedy_fast,32,36,10000.0,103.20257923500871,0.31774553213165035,320.0,103.52032476714037,15246.731691617053
fisher_greedy_fast,64,36,100.0,108.53278980031479,0.32664839070445545,6.4,108.85943819101924,4149.339774876693
fisher_greedy_fast,64,36,1000.0,108.53278980031479,0.32664839070445545,64.0,108.85943819101924,6222.939774876693
fisher_greedy_fast,64,36,10000.0,108.53278980031479,0.32664839070445545,640.0,108.85943819101924,26958.93977487669
fisher_greedy_fast,128,36,100.0,114.3678332379023,0.33346076723860785,12.8,114.70129400514091,4590.046584185073
fisher_greedy_fast,128,36,1000.0,114.3678332379023,0.33346076723860785,128.0,114.70129400514091,8737.246584185074
fisher_greedy_fast,128,36,10000.0,114.3678332379023,0.33346076723860785,1280.0,114.70129400514091,50209.24658418507
fisher_greedy_fast,256,36,100.0,125.38088200748511,0.30496744110844,25.6,125.68584944859356,5446.290580149368
fisher_greedy_fast,256,36,1000.0,125.38088200748511,0.30496744110844,256.0,125.68584944859356,13740.690580149369
fisher_greedy_fast,256,36,10000.0,125.38088200748511,0.30496744110844,2560.0,125.68584944859356,96684.69058014937
fisher_greedy_fast,512,36,100.0,133.16895095819817,0.3184596217754814,51.2,133.48741057997364,6648.746780879052
fisher_greedy_fast,512,36,1000.0,133.16895095819817,0.3184596217754814,512.0,133.48741057997364,23237.54678087905
fisher_greedy_fast,512,36,10000.0,133.16895095819817,0.3184596217754814,5120.0,133.48741057997364,189125.54678087906
bald_2step_fast,32,36,100.0,66.08702873328521,0.26952641129674804,3.2,66.35655514458196,2504.0359852049505
bald_2step_fast,32,36,1000.0,66.08702873328521,0.26952641129674804,32.0,66.35655514458196,3540.8359852049507
bald_2step_fast,32,36,10000.0,66.08702873328521,0.26952641129674804,320.0,66.35655514458196,13908.835985204949
bald_2step_fast,64,36,100.0,69.52473888212374,0.275437173839762,6.4,69.8001760559635,2743.2063380146865
bald_2step_fast,64,36,1000.0,69.52473888212374,0.275437173839762,64.0,69.8001760559635,4816.806338014686
bald_2step_fast,64,36,10000.0,69.52473888212374,0.275437173839762,640.0,69.8001760559635,25552.80633801469
bald_2step_fast,128,36,100.0,74.24692932764431,0.28393110141106365,12.8,74.53086042905538,3143.9109754459937
bald_2step_fast,128,36,1000.0,74.24692932764431,0.28393110141106365,128.0,74.53086042905538,7291.110975445993
bald_2step_fast,128,36,10000.0,74.24692932764431,0.28393110141106365,1280.0,74.53086042905538,48763.11097544599
bald_2step_fast,256,36,100.0,79.1053208836445,0.28974779446790405,25.6,79.3950686781124,3779.8224724120464
bald_2step_fast,256,36,1000.0,79.1053208836445,0.28974779446790405,256.0,79.3950686781124,12074.222472412046
bald_2step_fast,256,36,10000.0,79.1053208836445,0.28974779446790405,2560.0,79.3950686781124,95018.22247241206
bald_2step_fast,512,36,100.0,85.43045059707688,0.30189966082236624,51.2,85.73235025789926,4929.564609284374
bald_2step_fast,512,36,1000.0,85.43045059707688,0.30189966082236624,512.0,85.73235025789926,21518.364609284374
bald_2step_fast,512,36,10000.0,85.43045059707688,0.30189966082236624,5120.0,85.73235025789926,187406.36460928438
symqnet,32,36,100.0,1.5394808357943677,6.437321591021545,3.2,7.9768024268159134,402.36488736537285
symqnet,32,36,1000.0,1.5394808357943677,6.437321591021545,32.0,7.9768024268159134,1439.1648873653726
symqnet,32,36,10000.0,1.5394808357943677,6.437321591021545,320.0,7.9768024268159134,11807.164887365374
symqnet,64,36,100.0,1.5585024899427986,6.9688939437399515,6.4,8.52739643368275,537.386271612579
symqnet,64,36,1000.0,1.5585024899427986,6.9688939437399515,64.0,8.52739643368275,2610.986271612579
symqnet,64,36,10000.0,1.5585024899427986,6.9688939437399515,640.0,8.52739643368275,23346.986271612583
symqnet,128,36,100.0,1.5582873480860142,7.438665378246353,12.8,8.996952726332367,784.6902981479652
symqnet,128,36,1000.0,1.5582873480860142,7.438665378246353,128.0,8.996952726332367,4931.890298147966
symqnet,128,36,10000.0,1.5582873480860142,7.438665378246353,1280.0,8.996952726332367,46403.89029814796
symqnet,256,36,100.0,1.5452242853702045,8.23189350614945,25.6,9.777117791519656,1273.5762404947075
symqnet,256,36,1000.0,1.5452242853702045,8.23189350614945,256.0,9.777117791519656,9567.976240494707
symqnet,256,36,10000.0,1.5452242853702045,8.23189350614945,2560.0,9.777117791519656,92511.97624049471
symqnet,512,36,100.0,1.626553777962302,9.92277243816449,51.2,11.549326216126792,2258.9757437805642
symqnet,512,36,1000.0,1.626553777962302,9.92277243816449,512.0,11.549326216126792,18847.775743780567
symqnet,512,36,10000.0,1.626553777962302,9.92277243816449,5120.0,11.549326216126792,184735.77574378057
symqnet,32,36,100.0,1.6238862759886412,7.613146574306302,3.2,9.237032850294943,447.733182610618
symqnet,32,36,1000.0,1.6238862759886412,7.613146574306302,32.0,9.237032850294943,1484.5331826106178
symqnet,32,36,10000.0,1.6238862759886412,7.613146574306302,320.0,9.237032850294943,11852.533182610618
symqnet,64,36,100.0,1.5490028122026058,8.408831345150247,6.4,9.957834157352853,588.8820296647027
symqnet,64,36,1000.0,1.5490028122026058,8.408831345150247,64.0,9.957834157352853,2662.4820296647026
symqnet,64,36,10000.0,1.5490028122026058,8.408831345150247,640.0,9.957834157352853,23398.4820296647
symqnet,128,36,100.0,1.7397947357488899,10.296165933902376,12.8,12.035960669651265,894.0945841074455
symqnet,128,36,1000.0,1.7397947357488899,10.296165933902376,128.0,12.035960669651265,5041.294584107446
symqnet,128,36,10000.0,1.7397947357488899,10.296165933902376,1280.0,12.035960669651265,46513.29458410745
