method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
fixed,128,0,777,777,0,0.022832822054624557,12.359457015991211,0.002023922408827477,0.0029659713618457317,42.45990239238987,44.24349250621162,42.99263226049435,44.82264880789444,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.1110939 0.88281661 1.1000705 1.4635578 0.61066598 1.3869323 0.80522013 1.0423828 1.4751371,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,1,777,777,1,0.03159688413143158,15.741999626159668,0.002141831727284524,0.002629210939630866,42.56638700866865,44.76181397330947,43.084710804072934,45.256618031999096,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.69616258 0.83704144 1.068475 1.0395921 1.3236412 1.3300858 1.2638664 0.68402159 0.70333058,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,2,777,777,2,0.05842025578022003,11.581409454345703,0.0021536446486910186,0.002845277776941657,43.07952026526133,44.257889268919826,43.59945409750152,44.7855987586081,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.2360485 0.9308188 0.55752689 0.66605842 1.4939415 1.3534137 0.95209485 0.88075167 0.70645553,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,3,777,777,3,0.07120472192764282,14.634138107299805,0.002217242985756861,0.002697750460356474,42.23259149714269,44.06633847975172,42.75240128562372,44.596158259082586,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.2574067 1.1799386 1.201529 0.60526031 1.0212885 0.83337003 0.53218096 0.5182026 0.99304628,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,4,777,777,4,0.04907575249671936,14.476180076599121,0.0021134166874819333,0.0024875334929674864,42.8028075904068,44.28155373898335,43.32330716877348,44.81878652586602,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.54641145 1.431906 0.92167938 0.53384548 0.69220984 0.50851852 1.3133723 1.3608134 1.2678951,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,5,777,777,5,0.02511647902429104,16.15913200378418,0.0020571977883163425,0.0024172768462449312,42.31278175979646,44.12848153151572,42.83095100415974,44.643024273682386,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.71983069 0.98979658 0.82313424 0.60323358 1.4115185 1.2769241 1.2142528 1.2794672 0.79682446,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,6,777,777,6,0.021032586693763733,10.513943672180176,0.0020861755021744305,0.00262953108176589,42.22440080937102,44.82694703619927,42.74515504302043,45.321259705815464,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.3265618 0.62799102 0.7000187 0.67006999 0.56226587 0.6962387 0.66457003 0.72072417 0.92786163,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,7,777,777,7,0.06802764534950256,15.02489948272705,0.0020811340719875363,0.002840271918103099,42.58363000311268,44.55797097762115,43.10505169754227,45.07042226032354,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.3920144 1.2386929 1.2779019 0.57438517 0.7384131 0.57126564 0.51022983 0.50393379 1.0919534,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,8,777,777,8,0.030595729127526283,14.168122291564941,0.0021031139315002495,0.002655026037245989,42.08558859924475,43.71028652531095,42.59763720134894,44.20440093963407,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.63205171 0.66426176 0.81101805 0.63377964 0.76389819 1.4477038 1.4593109 0.88488382 1.2101071,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,9,777,777,9,0.02186908759176731,16.831418991088867,0.002368857773641745,0.0025774643290787935,42.79184876294393,44.663432432571426,43.318793627097165,45.18973219092004,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.65775639 0.54327953 0.84943187 0.61126852 1.4826314 1.4119061 1.0019615 0.92834044 1.3285182,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,10,777,777,10,0.016088193282485008,12.860466957092285,0.002147435831526915,0.002860237145796418,42.28151066086462,44.018438493367285,42.80987936524778,44.55331928329542,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.65504944 1.2594967 0.72816622 0.96273756 0.93379503 0.59876817 1.4789028 0.90591764 1.1903452,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,11,777,777,11,0.03640694543719292,14.814497947692871,0.002088044614841541,0.002654473064467311,42.15517907545695,44.13593921344727,42.67733929898694,44.68380246544257,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.1913999 1.194694 1.3484299 1.3531257 1.3612484 1.1011392 1.2950019 1.3013247 1.4188192,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,12,777,777,12,0.013811330311000347,14.07552433013916,0.0021033305933492053,0.002784974640235305,41.72901170224779,44.10302804899402,42.25079252501018,44.62451598374173,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,0.90966696 0.82061386 1.4033148 0.57098156 1.3055937 1.2768258 1.2007926 0.76405954 0.88754112,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,13,777,777,13,0.08166446536779404,15.832314491271973,0.0021523996514992583,0.0024967885110527277,41.854842737342956,43.54265579604544,42.37864025182918,44.06608347198926,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.3051636 1.2730229 1.395169 1.2156422 1.3149614 0.93727702 0.72976005 0.50725347 0.81015372,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
fixed,128,14,777,777,14,0.02499670907855034,13.687943458557129,0.0020281068928953675,0.002357526682317257,42.55046155109691,44.62914675241336,43.065517280612966,45.18267369712703,,,0 15 30 45 60 5 20 35 50 65 10 25 40 55 70 1 16 31 46 61 6 21 36 51 66 11 26 41 56 71 2 17 32 47 62 7,1.2602669 1.3273467 1.2385626 1.1407021 0.5237993 0.76855677 1.2651194 1.2667117 1.0675403,,,,,,,d6f6693c354c,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}"
