method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
random,128,0,777,777,0,0.01835859753191471,24.151151657104492,0.021781416661623452,0.017748301615938544,41.37613796370311,44.16187625611201,41.86804545719901,44.63804172701202,,,67 45 26 28 7 45 34 72 24 14 23 25 26 42 31 40 37 55 3 32 70 4 45 12 47 56 38 50 39 52 31 7 2 3 30 69,1.1110939 0.88281661 1.1000705 1.4635578 0.61066598 1.3869323 0.80522013 1.0423828 1.4751371,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,1,777,777,1,0.04121584817767143,24.2244873046875,0.015302027653281888,0.019709492335096,41.2815180219089,43.977471941616386,41.758887337184404,44.46040230686776,,,44 31 32 2 20 16 18 36 61 24 46 7 66 61 48 9 0 15 38 12 18 66 15 55 43 58 13 5 73 9 3 12 40 23 74 10,0.69616258 0.83704144 1.068475 1.0395921 1.3236412 1.3300858 1.2638664 0.68402159 0.70333058,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,2,777,777,2,0.07249926030635834,21.918538093566895,0.014366669347509742,0.017269456293433905,39.98578597222351,44.722994236508384,40.45625491481688,45.217584236525,,,27 11 58 3 7 26 64 8 71 11 8 56 11 17 13 34 8 51 21 52 18 63 24 63 51 30 73 24 55 67 62 5 32 60 21 57,1.2360485 0.9308188 0.55752689 0.66605842 1.4939415 1.3534137 0.95209485 0.88075167 0.70645553,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,3,777,777,3,0.006452958565205336,20.704912185668945,0.014614113347811831,0.02125991159118712,39.162413230062356,43.79104875260964,39.62470086278498,44.255289452848956,,,58 67 22 53 60 57 62 62 1 55 44 48 59 33 44 60 48 33 64 26 45 29 17 41 62 74 1 4 66 3 57 4 57 16 46 39,1.2574067 1.1799386 1.201529 0.60526031 1.0212885 0.83337003 0.53218096 0.5182026 0.99304628,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,4,777,777,4,0.043250467628240585,18.38862895965576,0.014614514333920347,0.017442682292312384,39.56075247131392,44.30235319887288,40.02962689588053,44.77926951949485,,,69 17 49 17 57 64 72 21 3 54 56 58 12 31 11 1 63 24 73 47 40 35 28 73 16 21 6 8 40 7 7 35 7 22 40 1,0.54641145 1.431906 0.92167938 0.53384548 0.69220984 0.50851852 1.3133723 1.3608134 1.2678951,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,5,777,777,5,0.03173577040433884,20.64568328857422,0.014721719910287194,0.017440266674384475,41.3598431688216,43.19896947708912,41.833714892466865,43.6642354761716,,,27 32 50 19 57 57 26 55 1 6 46 37 36 36 1 27 64 36 57 47 11 27 41 12 16 6 70 2 12 2 5 44 20 72 62 63,0.71983069 0.98979658 0.82313424 0.60323358 1.4115185 1.2769241 1.2142528 1.2794672 0.79682446,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,6,777,777,6,0.10444691777229309,22.7866153717041,0.014549279714831047,0.016702018911018968,41.8829110567458,44.0678792365361,42.357637537255265,44.55573976156302,,,43 64 67 4 36 41 27 34 56 61 70 69 29 22 38 72 2 42 15 53 9 21 57 41 3 67 41 23 8 29 7 0 41 44 48 74,1.3265618 0.62799102 0.7000187 0.67006999 0.56226587 0.6962387 0.66457003 0.72072417 0.92786163,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,7,777,777,7,0.028275595977902412,16.618160247802734,0.014072998763165541,0.015884230379015207,38.99308641686932,43.41096171992831,39.45803515832975,43.87390724150464,,,4 56 32 4 4 59 23 72 19 18 73 5 62 32 15 20 18 4 43 2 42 6 21 51 64 40 45 26 67 72 15 35 15 36 37 56,1.3920144 1.2386929 1.2779019 0.57438517 0.7384131 0.57126564 0.51022983 0.50393379 1.0919534,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,8,777,777,8,0.00851413980126381,18.33754253387451,0.014977888592208425,0.018141494365409017,40.48560184633566,43.7634940026328,40.954041158935674,44.231028732610866,,,20 58 52 36 48 12 56 34 28 29 68 60 67 19 57 12 74 38 58 62 37 34 63 40 12 20 36 65 74 4 55 55 33 38 30 57,0.63205171 0.66426176 0.81101805 0.63377964 0.76389819 1.4477038 1.4593109 0.88488382 1.2101071,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,9,777,777,9,0.03502851724624634,21.805949211120605,0.014635611377242539,0.017715676221996546,40.013704901664624,43.9025302475784,40.476809410999216,44.38361554639414,,,57 13 26 11 51 54 74 55 10 20 14 1 24 57 46 59 27 62 0 55 11 23 27 29 49 67 29 42 69 17 17 71 6 13 1 27,0.65775639 0.54327953 0.84943187 0.61126852 1.4826314 1.4119061 1.0019615 0.92834044 1.3285182,,,,,,,2c4b18cd7bbd,cpu,cpu:x86_64,,,,runs/noisy_native/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
