method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
fisher_greedy_fast,64,0,777,777,0,0.05602836608886719,25.298598766326904,107.76090467374564,160.07752149016596,0.34034350149643916,0.5423095426522195,108.59775435852094,161.09439299907535,,,74 62 4 42 13 17 38 63 13 29 74 34 67 74 4 26 74 74 8 49 43 74 38 74 74 4 28 14 74 44 18 74 27 74 31 57,1.2999691 0.88906986 1.2801269 1.9344041 0.39919874 1.796478 0.74939626 1.1762892 1.9552468,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,1,777,777,1,0.007282997015863657,19.712995529174805,110.89303419511351,166.72482603462413,0.3279111826688879,0.587131769862026,111.77063335263584,168.12438421766274,,,74 62 4 42 13 56 38 31 13 29 8 74 74 37 4 26 22 47 68 13 43 74 38 74 47 38 28 14 74 44 63 74 27 46 74 57,0.5530926 0.80667454 1.2232549 1.1712658 1.682554 1.6941544 1.5749596 0.53123891 0.56599504,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,2,777,777,2,0.09225650876760483,31.929178714752197,146.78251552524873,197.09997245809063,0.4566268051146633,1.0510463325772434,147.88281896875964,198.23240375262685,,,74 62 4 42 13 56 38 31 13 29 74 34 74 37 4 74 22 47 8 49 43 51 38 74 47 4 52 14 74 64 63 74 27 74 31 57,1.5248872 0.97547382 0.30354843 0.49890512 1.9890949 1.7361447 1.0137707 0.88535297 0.57161993,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,3,777,777,3,0.16199630498886108,21.274871349334717,145.9955787706551,197.80645024729893,0.5224486424898108,1.649037265451625,147.2761043179263,199.17093130061403,,,74 62 4 42 13 56 74 31 44 29 8 46 67 74 4 68 22 47 68 49 74 51 74 74 16 4 52 14 4 44 74 74 27 74 31 57,1.5633322 1.4238895 1.4627521 0.38946858 1.1383194 0.80006605 0.25792575 0.23276474 1.0874834,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,4,777,777,4,0.5715222954750061,25.683820247650146,138.85974306483857,198.36561201373115,0.3792636077074955,0.6378267717082053,139.7915247362107,199.35493427328765,,,74 74 4 42 13 56 38 63 13 29 74 34 67 37 4 26 22 74 68 49 43 74 32 74 16 4 52 14 74 44 18 74 27 74 74 57,0.28354067 1.8774307 0.95902288 0.2609219 0.54597771 0.21533337 1.66407 1.7494642 1.5822113,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,5,777,777,5,0.19776032865047455,21.897289752960205,106.09563987883222,148.1040714716073,0.2746036851830367,0.33990651718340814,106.76715949537336,148.73824297683313,,,74 62 4 42 13 56 38 63 13 29 8 34 74 37 74 26 22 47 8 49 43 51 38 74 47 38 52 14 74 64 63 74 27 46 74 57,0.59569526 1.0816338 0.78164166 0.38582039 1.8407333 1.5984635 1.4856551 1.6030411 0.73428398,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,6,777,777,6,0.2160489857196808,20.55708599090576,105.81889793199177,144.27821346907876,0.27968422445054686,0.34048777888529,106.49758273050085,145.00441204290837,,,74 62 4 42 13 17 56 31 13 29 74 34 74 37 4 68 74 47 68 49 43 51 38 74 16 38 28 14 4 64 18 74 27 74 74 57,1.6878113 0.43038386 0.56003368 0.50612593 0.3120786 0.55322969 0.49622604 0.59730351 0.97015101,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,7,777,777,7,0.26146402955055237,24.048015594482422,102.738904436895,157.09833047003485,0.3022944373596046,0.42818248039111495,103.53969588888705,157.9795620054938,,,74 74 4 42 13 56 38 74 13 29 8 34 74 37 4 68 74 47 8 49 43 51 74 74 16 4 52 74 4 44 18 74 27 74 74 57,1.8056259 1.5296471 1.6002234 0.33389333 0.6291436 0.32827809 0.21841365 0.20708083 1.2655162,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,8,777,777,8,0.07956798374652863,33.137797832489014,131.2591195552765,165.69795756367967,0.33896873355843127,0.5131042271386832,132.10350729382805,166.39030977967195,,,74 62 4 42 13 56 38 31 13 29 8 74 67 37 4 68 22 74 68 13 43 51 38 74 16 4 52 14 4 44 18 74 27 74 74 57,0.43769309 0.49567112 0.7598325 0.44080335 0.6750167 1.9058669 1.9267596 0.89279085 1.4781928,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
fisher_greedy_fast,64,9,777,777,9,0.007366449572145939,22.859166622161865,138.29011716491854,197.15797205572017,0.5327277790961994,1.7309237155131996,139.7393679815448,198.2978867017664,,,74 74 4 42 13 56 38 74 44 29 8 34 74 37 4 68 22 74 8 13 43 74 38 74 16 38 28 14 74 44 18 74 27 74 74 57,0.48396143 0.27790311 0.82897741 0.40028331 1.9687365 1.8414311 1.1035308 0.97101283 1.6913327,,,,,,,4baa97ffab5d,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 75, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 781}"
