method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
random,32,777 778 779 780 781,,,,,,,4da67176fc41,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",1500.0,0.15880727031826972,0.15324959759442136,0.16445779062427268,0.1316043734550476,0.1306234560906887,17.635136545499165,0.016823030331310024,0.02157444431213662,35.861013441687206,38.70695398978811,36.307840130748914,39.16473737671428,,,777:0.146081;778:0.15176709;779:0.15834288;780:0.16848152;781:0.16936386
random,64,777 778 779 780 781,,,,,,,c558a53ce249,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",1500.0,0.14741811953702322,0.14209513220562756,0.15298011219038937,0.1192239262163639,0.13976276852190495,19.98194386545817,0.011577017870472951,0.01212221645982936,36.76053917872573,39.483422786773495,37.174892160075686,39.905179906597674,,,777:0.14457959;778:0.14566784;779:0.14844308;780:0.14847319;781:0.1499269
random,128,777 778 779 780 781,,,,,,,7240342d23f2,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",1500.0,0.14862324945426855,0.1423156973076596,0.1549614727940837,0.11153225973248482,0.14785024523735046,23.25723169263204,0.011694212545451051,0.012389764635978887,36.32157245800502,38.847772908280604,36.7328190818554,39.26700079716587,,,777:0.14321226;778:0.1427698;779:0.14944581;780:0.15103658;781:0.15665179
random,256,777 778 779 780 781,,,,,,,694d9ac6e27a,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",1500.0,0.14324397367828837,0.1370944872056173,0.1497403411310399,0.10743635892868042,0.15049193520098925,27.31120529015859,0.011638242964788029,0.012532948438699046,35.78966094138687,38.20718504692195,36.19676763964472,38.62165161827579,,,777:0.14925296;778:0.14541695;779:0.14442577;780:0.13515185;781:0.14197233
random,512,777 778 779 780 781,,,,,,,35517055c05e,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}",1500.0,0.1562263216453915,0.14934825752386047,0.1634993640939899,0.11257070302963257,0.17158767953515053,31.552050272305806,0.026777343248896718,0.05664795957272872,71.15614094058293,81.53174666823664,71.80648004965148,82.23588253371418,,,777:0.15904214;778:0.13992122;779:0.15728218;780:0.1647176;781:0.16016846
fixed,32,777 778 779 780 781,,,,,,,25e8e4da49dc,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",1500.0,0.14969878213852644,0.14521899147834627,0.15361842777555187,0.13180206716060638,0.10482942126691341,13.538677364985148,0.0017051252674449373,0.002455481269862503,36.61848583375535,38.57721624981301,37.08995288470545,39.07507383576982,,,777:0.13884747;778:0.15009561;779:0.15420543;780:0.15032567;781:0.15501974
fixed,64,777 778 779 780 781,,,,,,,1fc4d13713ec,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",1500.0,0.13395032520778477,0.12969758328037956,0.13883781545519208,0.11017508804798126,0.1071771401911974,15.851463607470194,0.0016453336510393352,0.002298167693273475,36.59814548817532,38.442524303895574,37.05491890029387,38.921998848110285,,,777:0.12927164;778:0.12739979;779:0.13234739;780:0.13643564;781:0.14429716
fixed,128,777 778 779 780 781,,,,,,,7aa54f228990,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",1500.0,0.11573628438729792,0.111394591083657,0.11990329678236351,0.0931132324039936,0.10430741682648659,18.068301131884258,0.0016536297388719738,0.0022866125024544695,36.46083681811191,38.36041840357939,36.91596831864875,38.838762317764726,,,777:0.11223847;778:0.11872824;779:0.11319099;780:0.12204733;781:0.1124764
fixed,256,777 778 779 780 781,,,,,,,4d6b1f5885a4,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",1500.0,0.1021018291497603,0.09749787287913107,0.10663101893254401,0.07376915961503983,0.09478617552667856,20.469798855463665,0.0016296472383180152,0.002255416902092596,36.44125007495448,38.274739787409395,36.897467004322806,38.751003130630124,,,777:0.10125293;778:0.10137201;779:0.10258529;780:0.10405912;781:0.1012398
fixed,512,777 778 779 780 781,,,,,,,73bacfc83b08,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 5, ""name"": ""fixed""}",1500.0,0.09518999163635695,0.09075570798022672,0.09961880959025196,0.0671268105506897,0.10048139188438654,23.289738837242126,0.0015112273179477562,0.0020808152621611953,36.424539044240696,38.327533809720386,36.875182980414976,38.800713089236524,,,777:0.09588917;778:0.095816946;779:0.086918481;780:0.098504298;781:0.098821063
