method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
random,128,0,777,777,0,0.015273024328052998,16.252842903137207,0.01148491153597004,0.012475706171244383,35.84347689563098,38.1974863121286,36.61791137225615,38.62313157878816,,,67 45 26 28 7 45 34 72 24 14 23 25 26 42 31 40 37 55 3 32 70 4 45 12 47 56 38 50 39 52 31 7 2 3 30 69,1.1110939 0.88281661 1.1000705 1.4635578 0.61066598 1.3869323 0.80522013 1.0423828 1.4751371,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,1,777,777,1,0.012635423801839352,16.52877140045166,0.011178681031904288,0.011461321264505386,35.810205745898806,38.13682700274512,36.21915172293989,38.55723646120168,,,44 31 32 2 20 16 18 36 61 24 46 7 66 61 48 9 0 15 38 12 18 66 15 55 43 58 13 5 73 9 3 12 40 23 74 10,0.69616258 0.83704144 1.068475 1.0395921 1.3236412 1.3300858 1.2638664 0.68402159 0.70333058,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,2,777,777,2,0.015229124575853348,18.242125511169434,0.011032806166137258,0.011384283425286412,33.095073443190714,38.218719040742144,33.5063958417676,38.643930485704914,,,27 11 58 3 7 26 64 8 71 11 8 56 11 17 13 34 8 51 21 52 18 63 24 63 51 30 73 24 55 67 62 5 32 60 21 57,1.2360485 0.9308188 0.55752689 0.66605842 1.4939415 1.3534137 0.95209485 0.88075167 0.70645553,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,3,777,777,3,0.03255620226264,19.395956993103027,0.010955409379675984,0.011249241651967168,33.90679962467402,37.49170576338656,34.314922257585245,37.90635277982801,,,58 67 22 53 60 57 62 62 1 55 44 48 59 33 44 60 48 33 64 26 45 29 17 41 62 74 1 4 66 3 57 4 57 16 46 39,1.2574067 1.1799386 1.201529 0.60526031 1.0212885 0.83337003 0.53218096 0.5182026 0.99304628,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,4,777,777,4,0.07991056889295578,19.390352249145508,0.011067840710489286,0.011552067007869482,34.63951408371536,38.09101029764861,35.05031767094301,38.511553197167814,,,69 17 49 17 57 64 72 21 3 54 56 58 12 31 11 1 63 24 73 47 40 35 28 73 16 21 6 8 40 7 7 35 7 22 40 1,0.54641145 1.431906 0.92167938 0.53384548 0.69220984 0.50851852 1.3133723 1.3608134 1.2678951,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,5,777,777,5,0.018571989610791206,16.237760543823242,0.011224267331676351,0.0116087612695992,33.52834350921007,36.972496745875105,33.939633056029884,37.38037552102469,,,27 32 50 19 57 57 26 55 1 6 46 37 36 36 1 27 64 36 57 47 11 27 41 12 16 6 70 2 12 2 5 44 20 72 62 63,0.71983069 0.98979658 0.82313424 0.60323358 1.4115185 1.2769241 1.2142528 1.2794672 0.79682446,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,6,777,777,6,0.12472312897443771,25.330875396728516,0.011154605696598688,0.011762225767597556,35.94766896114581,38.0932452972047,36.3620147949809,38.51105165085755,,,43 64 67 4 36 41 27 34 56 61 70 69 29 22 38 72 2 42 15 53 9 21 57 41 3 67 41 23 8 29 7 0 41 44 48 74,1.3265618 0.62799102 0.7000187 0.67006999 0.56226587 0.6962387 0.66457003 0.72072417 0.92786163,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,7,777,777,7,0.05584624782204628,19.77628517150879,0.011076410171679325,0.011644733604043722,33.55804410400904,37.32283227145672,33.96893378036717,37.727262009866536,,,4 56 32 4 4 59 23 72 19 18 73 5 62 32 15 20 18 4 43 2 42 6 21 51 64 40 45 26 67 72 15 35 15 36 37 56,1.3920144 1.2386929 1.2779019 0.57438517 0.7384131 0.57126564 0.51022983 0.50393379 1.0919534,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,8,777,777,8,0.01944851130247116,21.020825386047363,0.011092562797582813,0.011809519492089748,35.04872015522172,38.06318496936001,35.45916888591213,38.490042788907886,,,20 58 52 36 48 12 56 34 28 29 68 60 67 19 57 12 74 38 58 62 37 34 63 40 12 20 36 65 74 4 55 55 33 38 30 57,0.63205171 0.66426176 0.81101805 0.63377964 0.76389819 1.4477038 1.4593109 0.88488382 1.2101071,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,9,777,777,9,0.1101202666759491,24.312421798706055,0.011267612636503246,0.011754716979339719,34.974569299568735,38.17990320385434,35.38617104964538,38.60262982198037,,,57 13 26 11 51 54 74 55 10 20 14 1 24 57 46 59 27 62 0 55 11 23 27 29 49 67 29 42 69 17 17 71 6 13 1 27,0.65775639 0.54327953 0.84943187 0.61126852 1.4826314 1.4119061 1.0019615 0.92834044 1.3285182,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,10,777,777,10,0.008189608342945576,16.669708251953125,0.01107493881136179,0.011416181223466992,35.78695428182578,38.212278683204204,36.2016458691667,38.63677178742364,,,45 69 7 46 21 46 70 38 3 52 15 57 51 39 0 23 5 18 7 61 47 48 39 22 5 7 2 16 73 63 58 53 60 31 67 62,0.65504944 1.2594967 0.72816622 0.96273756 0.93379503 0.59876817 1.4789028 0.90591764 1.1903452,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,11,777,777,11,0.02883254550397396,14.905532836914062,0.011200279307862123,0.011824711691588163,35.8767131919093,38.170595245901495,36.29070374235097,38.592247205087915,,,10 17 35 27 20 15 17 8 43 34 70 49 48 57 15 13 62 7 65 50 53 20 38 9 0 28 48 60 53 5 31 44 27 38 50 12,1.1913999 1.194694 1.3484299 1.3531257 1.3612484 1.1011392 1.2950019 1.3013247 1.4188192,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,12,777,777,12,0.02853718400001526,19.051894187927246,0.01118417195458379,0.011629483196884394,32.77779157118251,38.088745466666296,33.189503459854876,38.51283827680163,,,61 12 24 57 68 22 57 66 12 46 37 50 72 38 18 35 66 20 60 22 40 63 66 26 24 37 44 44 32 26 46 5 58 37 70 63,0.90966696 0.82061386 1.4033148 0.57098156 1.3055937 1.2768258 1.2007926 0.76405954 0.88754112,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,13,777,777,13,0.028296291828155518,22.901784896850586,0.011100129793501563,0.011446245480328798,35.60654797022127,38.11912494711578,36.019320415410526,38.54077323921956,,,15 71 39 43 70 28 44 12 65 46 72 48 1 23 57 24 25 8 8 11 31 27 40 66 74 32 36 58 4 16 74 37 15 17 5 53,1.3051636 1.2730229 1.395169 1.2156422 1.3149614 0.93727702 0.72976005 0.50725347 0.81015372,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,14,777,777,14,0.014638875611126423,18.10535430908203,0.011040479876101017,0.011416967026889324,32.95395468982557,38.17128896480426,33.39497311713381,38.657012017210945,,,22 3 25 22 53 49 11 30 8 4 35 59 3 3 36 36 67 56 39 53 23 0 72 66 45 66 6 16 34 11 10 57 2 31 0 44,1.2602669 1.3273467 1.2385626 1.1407021 0.5237993 0.76855677 1.2651194 1.2667117 1.0675403,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,15,777,777,15,0.03786669299006462,18.931386947631836,0.011237393159212338,0.011973024811595678,35.080238785465355,38.12584825209342,35.49327418052902,38.5520322015509,,,39 8 24 43 15 60 8 4 2 15 4 36 72 41 65 68 42 60 3 46 34 32 65 42 22 49 14 66 4 54 46 38 67 38 6 2,0.94850624 1.306527 0.94805157 0.85179961 0.95069391 1.397747 0.68127358 1.4880944 1.1979374,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,16,777,777,16,0.0680517703294754,25.299924850463867,0.011232843260384269,0.011439580703154206,34.873860490430765,38.13031624304131,35.28589079764465,38.544870796613395,,,39 31 68 8 70 68 67 53 18 6 66 60 42 59 5 31 28 55 2 37 63 50 74 5 62 70 17 14 55 73 28 71 28 57 50 11,0.89749193 1.04687 1.4875896 0.55634624 1.4097995 1.1833563 0.63836497 0.76563138 1.0908875,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,17,777,777,17,0.02430802397429943,19.988170623779297,0.01160732871438894,0.01671421341598034,35.69804971468531,38.10870574670844,36.11089679826465,38.536256295628846,,,12 73 45 49 7 64 48 66 30 52 15 48 11 25 40 42 49 5 37 31 48 8 70 69 72 38 40 21 15 24 10 12 54 8 64 10,0.54802525 0.56249672 0.71566838 1.0228667 0.67971802 1.0236052 0.92946202 1.2903621 1.1080738,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,18,777,777,18,0.03347951918840408,26.210305213928223,0.011076943741904365,0.011439493391662836,35.93187028956082,38.22023395332508,36.3470210286323,38.637920952169225,,,22 46 9 54 54 7 29 7 46 74 27 1 12 5 71 7 29 2 6 29 39 12 9 30 68 32 43 7 28 56 43 47 71 6 66 45,0.72898012 0.72699392 1.3574409 0.78884995 1.0007712 1.277792 1.2193784 0.52121168 0.73369694,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,19,777,777,19,0.024695850908756256,19.482463836669922,0.011311898965181576,0.011759490007534623,35.56082119272711,37.9835449566599,35.9709056695768,38.3996520540677,,,59 6 42 70 30 34 74 18 43 55 11 70 74 57 24 42 31 6 27 33 27 69 50 56 23 34 12 15 66 7 33 45 73 6 34 15,1.2275565 1.2745924 0.92315024 0.52525806 0.53119183 0.5291425 1.4003408 0.77401763 1.0236385,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,20,777,777,20,0.01857534423470497,19.489962577819824,0.011092918511066172,0.011672003893181682,36.01147048498711,38.138394855195656,36.424245028885906,38.56426751008257,,,54 37 70 43 69 22 63 3 68 6 15 33 58 14 58 49 59 17 30 50 26 47 59 4 45 43 42 62 41 9 64 8 16 10 52 40,0.82721144 1.1363438 0.97228891 1.478233 1.3787099 0.67079556 0.98068899 0.78367782 1.446714,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,21,777,777,21,0.03447890654206276,22.322702407836914,0.011264213955857687,0.011801981600001454,36.138389246641765,37.98501251731068,36.547132764503154,38.398913195123896,,,18 29 59 8 38 46 14 68 44 12 32 57 14 27 72 63 26 45 21 67 32 19 24 41 48 37 44 73 62 40 61 3 4 5 39 29,0.78578776 0.61070281 0.59975004 0.97915637 0.50144041 1.0255299 1.3044108 0.83071053 1.2856983,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,22,777,777,22,0.026719145476818085,23.075839042663574,0.011283293133601546,0.011652038665488362,34.68659597759446,38.136541028507054,35.099453751980846,38.560775778023526,,,29 33 68 74 51 56 55 62 31 14 19 0 14 46 33 37 6 14 20 74 35 25 59 65 32 19 68 46 61 51 68 55 54 4 11 9,0.80450106 0.52395022 0.93993008 0.76294929 0.5213936 1.4537019 0.61488551 1.455524 0.94039983,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,23,777,777,23,0.07421877235174179,22.09349250793457,0.011121524342646202,0.011594442185014486,35.993847533568946,38.214773521758616,36.40874207808843,38.634274271316826,,,1 29 69 23 34 73 21 31 4 58 51 46 26 48 16 55 36 8 37 24 11 19 27 57 33 65 19 4 21 52 40 34 35 19 47 38,1.2717659 1.2367275 0.58109593 1.0034984 1.3510767 0.71430039 0.62665647 1.1040156 0.69485265,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,24,777,777,24,0.05454300716519356,15.23550796508789,0.011119086088405715,0.011454481864348054,35.440073920957126,38.180122966878116,35.854034578531156,38.60154197900556,,,71 56 54 53 7 71 34 51 0 20 69 71 42 5 44 1 21 27 43 20 16 18 24 22 25 32 50 34 56 44 70 30 41 6 26 24,0.98698014 0.87182796 0.99276906 1.1307913 0.52137864 1.166852 1.1623629 1.3175339 0.83059692,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
random,128,25,777,777,25,0.015423928387463093,20.751233100891113,0.011084866451306475,0.01164973946288228,34.21329990507931,38.2692652347032,34.625489672180265,38.697914307704195,,,61 50 70 39 62 54 49 74 58 31 16 38 11 8 27 31 61 29 68 18 69 42 54 29 26 9 24 0 70 19 70 0 28 68 32 3,0.86662328 0.6729638 0.59312028 0.52778244 1.4981116 1.2549096 0.68089265 1.3655314 1.1589588,,,,,,,1d074b9360b6,cpu,cpu:x86_64,,,,runs/reward_mse_delta/task_bank.npz,"{""n_actions"": 75, ""name"": ""random""}"
