method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
random,128,36,100.0,0.017210561670018013,36.312132461796324,12.8,36.32934302346634,1768.6563488447882
random,128,36,1000.0,0.017210561670018013,36.312132461796324,128.0,36.32934302346634,5915.856348844789
random,128,36,10000.0,0.017210561670018013,36.312132461796324,1280.0,36.32934302346634,47387.85634884479
fixed,128,36,100.0,0.0013061942235152756,35.35566676472296,12.8,35.35697295894648,1733.6510265220732
fixed,128,36,1000.0,0.0013061942235152756,35.35566676472296,128.0,35.35697295894648,5880.851026522073
fixed,128,36,10000.0,0.0013061942235152756,35.35566676472296,1280.0,35.35697295894648,47352.851026522076
fixed_optimized,128,36,100.0,0.022662777194960248,37.91590279398089,12.8,37.93856557117585,1826.5883605623308
fixed_optimized,128,36,1000.0,0.022662777194960248,37.91590279398089,128.0,37.93856557117585,5973.78836056233
fixed_optimized,128,36,10000.0,0.022662777194960248,37.91590279398089,1280.0,37.93856557117585,47445.78836056233
fisher_greedy_fast,128,36,100.0,107.99815977789694,0.30795587947445546,12.8,108.3061156573714,4359.82016366537
fisher_greedy_fast,128,36,1000.0,107.99815977789694,0.30795587947445546,128.0,108.3061156573714,8507.020163665371
fisher_greedy_fast,128,36,10000.0,107.99815977789694,0.30795587947445546,1280.0,108.3061156573714,49979.02016366537
bald_2step_fast,128,36,100.0,67.10456184473286,0.28543213213776686,12.8,67.38999397687063,2886.8397831673424
bald_2step_fast,128,36,1000.0,67.10456184473286,0.28543213213776686,128.0,67.38999397687063,7034.039783167344
bald_2step_fast,128,36,10000.0,67.10456184473286,0.28543213213776686,1280.0,67.38999397687063,48506.03978316734
symqnet,128,36,100.0,1.642474998924795,7.961438703117892,12.8,9.603913702042687,806.5408932735368
symqnet,128,36,1000.0,1.642474998924795,7.961438703117892,128.0,9.603913702042687,4953.740893273537
symqnet,128,36,10000.0,1.642474998924795,7.961438703117892,1280.0,9.603913702042687,46425.74089327354
symqnet,128,36,100.0,1.5310399366426282,5.389671112199452,12.8,6.92071104884208,709.9455977583149
symqnet,128,36,1000.0,1.5310399366426282,5.389671112199452,128.0,6.92071104884208,4857.1455977583155
symqnet,128,36,10000.0,1.5310399366426282,5.389671112199452,1280.0,6.92071104884208,46329.14559775832
symqnet,128,36,100.0,1.4698046562046296,7.914107437627131,12.8,9.38391209383176,798.6208353779434
symqnet,128,36,1000.0,1.4698046562046296,7.914107437627131,128.0,9.38391209383176,4945.820835377943
symqnet,128,36,10000.0,1.4698046562046296,7.914107437627131,1280.0,9.38391209383176,46417.82083537794
