method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
bald_2step_fast,128,0,777,777,0,0.1255275309085846,36.94113731384277,9447.040535703612,15030.514662037604,0.4225811798177246,0.5152797675691545,9449.640087036338,15035.712263954338,,,96 6 122 131 105 144 22 49 123 102 49 29 0 115 18 149 128 149 22 149 149 149 48 52 149 149 149 118 49 23 149 30 0 149 136 149,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258 0.83704144 1.068475 1.0395921 1.2360485 1.1127307 1.0103561 1.4576066 0.93559712 0.99427855 1.4244634 0.97096628 1.1639637 1.0721638 1.3922572,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,1,777,777,1,0.17542941868305206,43.377668380737305,8903.89404917692,15032.0689730288,0.3200398673976047,0.4182634875178337,8904.689756396692,15032.846422953298,,,96 6 122 131 149 144 149 0 149 149 149 29 0 149 149 78 149 0 22 149 129 144 149 52 45 149 149 149 149 23 61 0 34 7 149 149,0.9308188 0.55752689 0.66605842 1.2574067 1.1799386 1.201529 0.60526031 0.54641145 1.431906 0.85766888 1.4506375 0.68491089 0.5153262 1.1341195 1.3722866 1.1914458 1.4869831 1.4344622 1.1714473,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,2,777,777,2,0.09821222722530365,41.96236801147461,9198.794525792538,15088.898439193144,0.3304226686143213,0.4201074771117419,9199.60196144853,15089.645639935043,,,149 6 122 131 149 144 149 49 123 102 149 29 132 0 149 149 149 149 22 0 149 149 48 149 149 1 149 149 149 23 149 149 34 149 149 94,0.92167938 0.53384548 0.71983069 0.98979658 0.82313424 0.60323358 1.3265618 0.62799102 0.7000187 0.8753264 1.2314727 1.1427608 1.0500767 0.73831558 0.63904756 0.55942762 0.63611192 1.4988034 0.95148128,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,3,777,777,3,0.23418356478214264,49.144798278808594,9488.276805360025,15081.547418551054,0.3308540229530384,0.4200642288196832,9489.077978360001,15082.384394219844,,,149 6 122 131 105 149 22 49 123 102 0 29 132 115 149 78 128 149 149 149 0 144 149 149 149 0 149 118 149 149 0 149 34 7 149 94,0.67006999 1.3920144 1.2386929 1.2779019 0.57438517 0.63205171 0.66426176 0.81101805 0.63377964 1.398701 1.2291665 0.61711425 0.89927715 0.7359935 1.0462883 0.57921571 0.94484746 0.71643174 0.79294801,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,4,777,777,4,0.11074112355709076,35.71265983581543,8635.720900240509,15071.114034566563,0.31015548868001336,0.41509800939820707,8636.492226479782,15071.882078540511,,,96 149 149 149 0 144 22 149 123 102 149 29 132 149 149 149 149 112 149 0 0 0 48 0 0 149 72 118 149 149 149 149 34 0 0 94,0.65775639 0.54327953 0.84943187 0.61126852 0.65504944 1.2594967 0.72816622 0.96273756 1.1913999 1.1196243 0.71228188 0.52844375 1.2038608 0.96376175 1.2778395 1.0578842 0.97686046 0.52099943 1.0924215,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,5,777,777,5,0.1791982799768448,35.76571083068848,9458.720239868853,15048.572813742794,0.3225880274031725,0.40554298902861774,9459.500327861557,15049.31541220867,,,96 149 122 149 149 144 22 49 123 102 149 29 132 115 149 149 128 112 22 49 149 144 48 52 149 0 72 149 49 23 149 149 34 149 0 94,1.194694 1.3484299 1.3531257 0.90966696 0.82061386 1.4033148 0.57098156 1.3051636 1.2730229 1.3190464 1.1127684 0.84514397 0.76698506 1.2599777 0.95466399 0.6128673 1.2472924 0.81801295 1.0670649,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,6,777,777,6,0.13134650886058807,42.7095947265625,9177.188242497828,15041.322674514959,0.3141497145406902,0.4071030707564205,9177.956588724757,15042.144749546424,,,96 149 122 0 149 144 22 149 149 102 149 29 132 149 0 78 149 112 149 149 129 149 48 149 0 0 149 118 49 0 61 30 34 0 149 149,1.395169 1.2156422 1.2602669 1.3273467 1.2385626 1.1407021 0.94850624 1.306527 0.94805157 1.1896594 1.4423066 0.82536846 0.88609362 0.54998326 0.51318628 0.5842464 1.2938277 0.54231602 0.6773988,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,7,777,777,7,0.10866506397724152,43.88755226135254,10286.317575490102,15041.391929262318,0.33171697416239315,0.4091187729500234,10287.105839149768,15042.152624024311,,,96 149 149 0 149 144 22 49 123 102 49 29 132 149 0 78 128 112 149 149 149 144 149 0 45 1 149 149 49 23 61 0 149 7 149 149,0.85179961 0.89749193 1.04687 1.4875896 0.55634624 0.54802525 0.56249672 0.71566838 1.0228667 1.4234577 0.76581979 0.97294867 1.2853986 0.51774716 1.3112724 0.94697583 1.1466302 0.74506062 0.69050115,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,8,777,777,8,0.11584610491991043,42.996294021606445,8599.102699123452,15011.1816067365,0.3050266726252933,0.40508428355678916,8599.861283534361,15011.891226953594,,,96 6 122 131 149 144 0 149 0 102 149 0 0 0 149 78 128 112 22 149 129 144 149 0 149 149 72 149 149 23 0 149 34 7 0 0,0.72898012 0.72699392 1.3574409 0.78884995 1.2275565 1.2745924 0.92315024 0.52525806 0.82721144 0.8124243 1.0141256 0.62298059 0.82033002 0.6311937 1.1080459 1.1182815 0.54055583 0.79048759 1.2667242,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
bald_2step_fast,128,9,777,777,9,0.10517677664756775,45.73589897155762,9447.277468587143,15020.540354540572,0.3171846167080932,0.4098960489500314,9448.050959097196,15021.364567044657,,,149 149 122 131 105 144 22 149 149 102 0 29 149 149 18 78 128 112 149 49 129 144 48 149 45 149 149 149 0 0 149 149 0 0 149 94,1.1363438 0.97228891 1.478233 0.78578776 0.61070281 0.59975004 0.97915637 0.80450106 0.52395022 0.74672318 0.57390636 0.72657257 1.2543918 1.1275806 0.94122398 1.2047533 1.0163771 0.60289377 0.55629778,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}"
