method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
random,128,777,,,,,,,243088f95da0,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""n_actions"": 150, ""name"": ""random""}",100.0,0.08627160592004657,0.07942209380306305,0.09268624613247811,0.07823009788990021,0.03936179541051388,44.244357128143314,0.01757966270411594,0.01904295029817149,4982.76942792022,5058.569703951071,4983.238395031335,5059.0308032682515,,,777:0.086271606
fixed,128,777,,,,,,,e0662039f8a8,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 10, ""name"": ""fixed""}",100.0,0.0736414004676044,0.07015618118271232,0.07711272483691574,0.07024024799466133,0.023610319010913372,18.093961963653566,0.0014514016220346093,0.0017273996490985155,4955.501644096996,4978.051064069732,4955.949831864208,4978.490725712618,,,777:0.0736414
fixed_optimized,128,777,,,,,,,13f205aa3b6d,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""n_actions"": 150, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}",100.0,0.08075561900623143,0.07419150354946033,0.08730834564566611,0.07437171787023544,0.044542293064296246,55.03758867263794,313.4743774720765,0.002784316020552069,5213.060789921114,5329.600390775013,5527.0403767969565,5330.190058412845,,,777:0.080755619
fisher_greedy_fast,128,777,,,,,,,baf18c83a187,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 150, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}",100.0,0.08670421367511154,0.08049710386386141,0.09339984306879343,0.08501281589269638,0.047245279885828495,50.75862264633179,15712.355566410763,20072.935027577623,0.3353978537294703,0.4093785095028579,15713.105634428668,20073.680460222822,,,777:0.086704214
bald_2step_fast,128,777,,,,,,,ef6fcec9a840,cpu,cpu:x86_64,,,,runs/scaling/n10/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 150, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 777, ""top_k"": 2}",100.0,0.10771949864923953,0.10015123303700238,0.1159512648433447,0.1064557395875454,0.04827180132269859,41.2391180229187,9099.790752016837,15121.845133018214,0.3276076171702394,0.4333825359935872,9100.610153808213,15122.704944876023,,,777:0.1077195
symqnet,128,777,777,runs/scaling/n10/symqnet_seed_777/best_agent.pt,536cbfb4b907,heldout_validation_mse,0.08674740511924028,runs/scaling/n10/validation_task_bank.npz,0414abb06e3e,cpu,cpu:x86_64,85749.77547447896,info_gain,,runs/scaling/n10/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",100.0,0.08191246457397938,0.07817488633934408,0.08580676313955336,0.08352862298488617,0.026843823492527008,8.687992095947266,2.0112137602538698,2.191967687685974,828.6782754055457,4958.022884326056,831.2506189067306,4960.673117068945,,,777:0.081912465
symqnet,128,777,778,runs/scaling/n10/symqnet_seed_778/best_agent.pt,636462e0f823,heldout_validation_mse,0.07727004401385784,runs/scaling/n10/validation_task_bank.npz,0414abb06e3e,cpu,cpu:x86_64,90773.37790569698,info_gain,,runs/scaling/n10/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",100.0,0.08209489181637764,0.07852787024341523,0.08579505439102648,0.08027300611138344,0.02669663354754448,7.639851188659668,2.0132291071867154,2.271026858361438,765.9108944356881,5143.533982021618,768.4474292002335,5146.118401142885,,,777:0.082094892
symqnet,128,777,779,runs/scaling/n10/symqnet_seed_779/best_agent.pt,543d6daade70,heldout_validation_mse,0.08701650518923998,runs/scaling/n10/validation_task_bank.npz,0414abb06e3e,cpu,cpu:x86_64,94978.57639880804,info_gain,,runs/scaling/n10/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",100.0,0.08332664422690868,0.07989852622337638,0.0873367582913488,0.08078079670667648,0.028059756383299828,7.565212059020996,2.0763076958246534,2.4097081349464133,772.1816216756511,5112.584988439339,774.8281986937055,5115.35759750288,,,777:0.083326644
dad_transformer,128,777,777,runs/scaling/n10/dad_transformer_seed_777/best_agent.pt,c2a2fa20db7f,heldout_validation_mse,0.08758075535297394,runs/scaling/n10/validation_task_bank.npz,92c00fc4839c,cpu,cpu:x86_64,99132.49047702807,info_gain,,runs/scaling/n10/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""none"", ""graph"": ""none"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": false, ""use_vae"": false}",100.0,0.08029867697507143,0.0765826171617955,0.08395354524534195,0.07972798123955727,0.021980280056595802,3.5381145095825195,1.371594483239783,1.510741933088866,727.9979383939885,5727.11156914629,729.9905001889823,5729.199260442475,,,777:0.080298677
dad_transformer,128,777,778,runs/scaling/n10/dad_transformer_seed_778/best_agent.pt,02ea5c431070,heldout_validation_mse,0.09469311498105526,runs/scaling/n10/validation_task_bank.npz,92c00fc4839c,cpu,cpu:x86_64,102137.762002061,info_gain,,runs/scaling/n10/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""none"", ""graph"": ""none"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": false, ""use_vae"": false}",100.0,0.08128683937713505,0.07752674859995022,0.08501863443572073,0.08253388479351997,0.025023996829986572,9.408251514434815,0.8486138069080578,0.9814035485032946,879.1894120120237,5268.863256930927,880.4498433494315,5270.186372716707,,,777:0.081286839
