method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
fisher_greedy_fast,128,0,777,777,0,0.05109258368611336,49.10069274902344,19222.70645189888,28533.776331547415,0.3443298628553748,0.4873732686974108,19223.527819467967,28534.555653022835,,,179 19 103 38 153 24 179 47 138 44 146 66 110 29 131 152 88 179 78 45 7 132 179 39 54 111 162 158 79 69 117 8 91 123 179 179,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258 0.83704144 1.068475 1.0395921 1.2360485 0.9308188 0.55752689 0.9543761 1.0455071 1.4262131 1.364445 1.0743268 0.78317434 1.0847412 0.61097312 1.4160893 0.56432277 1.1383026 1.422307,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,1,777,777,1,0.07043106853961945,48.78029251098633,21337.334865597466,28343.588380754227,0.39554841350764036,0.4908440459985286,21338.271219192797,28344.40704653389,,,179 19 103 69 153 24 179 146 138 44 179 66 110 29 131 152 88 44 78 47 7 179 138 39 136 74 162 158 79 69 117 8 91 106 137 138,0.66605842 1.2574067 1.1799386 1.201529 0.60526031 0.54641145 1.431906 0.92167938 0.53384548 0.71983069 0.98979658 1.1685443 1.275279 1.2924527 0.84289551 0.74620408 1.0495571 0.91283429 1.0617067 0.81851733 1.3712348 1.0810651 0.70300549,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,2,777,777,2,0.14611497521400452,62.69822692871094,23876.046138485737,28608.451902255183,0.38104368205596173,0.4681784485001117,23876.895683005892,28609.25652977312,,,179 19 103 38 153 24 179 47 138 44 146 66 179 29 131 152 88 44 78 179 108 132 138 39 54 111 162 158 12 69 117 8 133 123 137 138,0.82313424 0.60323358 1.3265618 0.62799102 0.7000187 0.67006999 1.3920144 1.2386929 1.2779019 0.57438517 0.63205171 0.75209415 1.1043887 1.3783271 0.78503132 1.4511695 0.56153733 1.2679998 1.4016755 0.85180449 0.9108212 0.7359215 0.82992244,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,3,777,777,3,0.07987131923437119,56.07948684692383,23564.04635831455,28378.665512544103,0.37025084667321706,0.4469812847673893,23564.874624144675,28379.41892800154,,,179 19 103 69 122 24 179 146 138 44 179 66 110 29 41 152 88 44 78 47 108 132 138 39 54 74 162 158 79 69 117 8 91 106 137 179,0.66426176 0.81101805 0.63377964 0.65775639 0.54327953 0.84943187 0.61126852 0.65504944 1.2594967 0.72816622 0.96273756 1.384878 0.85069042 0.58027136 1.0350686 1.2204939 0.7956661 1.0674371 1.3201362 1.0109261 1.1542318 1.2488678 1.1434819,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,4,777,777,4,0.14812049269676208,72.24744606018066,21698.2671170586,28239.528910722584,0.35367743112146854,0.452078296802938,21699.07437767122,28240.279666526476,,,179 19 103 38 153 24 179 47 138 44 179 66 110 29 131 152 88 44 78 47 7 132 20 39 136 74 162 158 12 69 117 8 91 123 137 179,1.1913999 1.194694 1.3484299 1.3531257 0.90966696 0.82061386 1.4033148 0.57098156 1.3051636 1.2730229 1.395169 1.4747119 1.4993581 1.413041 1.3295854 1.0783986 0.64983279 1.3087575 1.3692344 1.0246998 1.118353 1.0236269 1.4241014,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,5,777,777,5,0.039445310831069946,51.485891342163086,20415.605703042173,28065.502971992828,0.33592553679934806,0.42420095996931195,20416.377750076612,28066.470019693952,,,179 19 103 69 153 24 179 47 138 44 146 66 110 29 131 152 88 44 78 47 7 132 20 39 136 111 162 158 79 69 144 8 133 106 179 179,1.2156422 1.2602669 1.3273467 1.2385626 1.1407021 0.94850624 1.306527 0.94805157 0.85179961 0.89749193 1.04687 0.81385577 1.3185496 0.94318616 1.3979883 0.96338618 1.3144757 0.61978817 0.75269181 1.2503054 0.96326959 1.0643708 1.288036,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,6,777,777,6,0.10756482928991318,59.919734954833984,23596.202497001894,28153.994012769544,0.3591632735656781,0.42423876584507525,23596.981931804396,28154.766891966574,,,179 19 103 38 153 24 179 146 138 44 179 66 110 29 131 152 88 44 78 47 108 179 138 39 54 111 162 158 12 69 117 8 91 123 137 179,1.4875896 0.55634624 0.54802525 0.56249672 0.71566838 1.0228667 0.72898012 0.72699392 1.3574409 0.78884995 1.2275565 1.0434581 1.2612567 0.71693569 0.8498984 1.4951041 1.4011451 1.2346096 1.2569444 1.2667824 1.0701795 0.72441673 0.9553622,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,7,777,777,7,0.06837712228298187,58.292572021484375,21158.50199428193,28327.728594565997,0.33118450988291037,0.43232826283201575,21159.26042578455,28328.41030549025,,,179 19 103 69 153 24 179 47 138 44 146 66 110 29 131 152 88 44 78 47 108 132 20 39 136 74 162 158 12 69 117 8 91 106 179 138,1.2745924 0.92315024 0.52525806 0.82721144 1.1363438 0.97228891 1.478233 0.78578776 0.61070281 0.59975004 0.97915637 0.84380412 0.97642756 1.3209137 1.2883403 1.1856793 1.086677 0.97567314 1.1202348 0.50393724 0.6953823 1.4633485 1.3483073,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,8,777,777,8,0.06749129295349121,61.21396064758301,22453.052710107942,28247.739579499466,0.34847786042114925,0.4276747349649668,22453.82576206531,28248.566783760907,,,179 19 103 69 153 24 179 47 141 44 146 66 179 29 131 152 88 44 78 47 7 132 179 39 54 111 162 158 79 69 117 8 91 106 179 138,0.80450106 0.52395022 0.93993008 0.76294929 1.2717659 1.2367275 0.58109593 1.0034984 0.98698014 0.87182796 0.99276906 0.81493819 1.2872008 0.67577368 0.9642787 1.1067331 1.0936894 1.4682226 0.99134457 1.1092128 0.61535603 0.86466944 1.2670417,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
fisher_greedy_fast,128,9,777,777,9,0.08430366963148117,65.13507652282715,21184.1341751149,28339.853917248547,0.33079554689013296,0.4310285148676485,21184.888535961767,28340.533128532115,,,179 19 103 69 153 24 179 47 141 44 146 66 110 29 131 152 88 179 78 45 7 132 138 39 54 111 162 158 12 69 117 8 91 106 179 138,1.1307913 0.86662328 0.6729638 0.59312028 0.52778244 0.53365195 1.0949318 1.4606755 1.3477811 1.362661 0.55574566 1.4140059 0.69138807 1.0187557 1.2610772 0.82953894 0.97888935 1.3291738 0.92498225 0.94340414 0.6090219 0.63192165 1.265272,,,,,,,b0d24d671116,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""bounded_candidates"": true, ""max_actions"": 4, ""n_actions"": 180, ""name"": ""fisher_greedy_fast"", ""objective"": ""particle_linearized_fisher_logdet"", ""ridge"": 0.0001, ""seed"": 777}"
