method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
fixed,128,0,777,777,0,0.05474681779742241,5.533052444458008,0.0018087513227429655,0.002380053047090769,7154.532453672598,7182.780669798376,7155.03208410357,7183.588149491698,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258 0.83704144 1.068475 1.0395921 1.2360485 0.9308188 0.55752689 0.9543761 1.0455071 1.4262131 1.364445 1.0743268 0.78317434 1.0847412 0.61097312 1.4160893 0.56432277 1.1383026 1.422307,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,1,777,777,1,0.09747626632452011,13.257123947143555,0.0019475280876374906,0.002232292899861932,7190.212637347739,7216.009789990494,7190.710694393299,7216.48622455541,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,0.66605842 1.2574067 1.1799386 1.201529 0.60526031 0.54641145 1.431906 0.92167938 0.53384548 0.71983069 0.98979658 1.1685443 1.275279 1.2924527 0.84289551 0.74620408 1.0495571 0.91283429 1.0617067 0.81851733 1.3712348 1.0810651 0.70300549,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,2,777,777,2,0.1043018326163292,20.952049255371094,0.001886908042555054,0.0021915475372225046,7178.9134596086415,7203.491243009921,7179.415876650536,7204.0083995088935,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,0.82313424 0.60323358 1.3265618 0.62799102 0.7000187 0.67006999 1.3920144 1.2386929 1.2779019 0.57438517 0.63205171 0.75209415 1.1043887 1.3783271 0.78503132 1.4511695 0.56153733 1.2679998 1.4016755 0.85180449 0.9108212 0.7359215 0.82992244,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,3,777,777,3,0.05934946611523628,6.182464599609375,0.002264763073374828,0.003035558620467782,7145.658113722068,7170.746762742056,7146.176731417654,7171.242729993537,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,0.66426176 0.81101805 0.63377964 0.65775639 0.54327953 0.84943187 0.61126852 0.65504944 1.2594967 0.72816622 0.96273756 1.384878 0.85069042 0.58027136 1.0350686 1.2204939 0.7956661 1.0674371 1.3201362 1.0109261 1.1542318 1.2488678 1.1434819,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,4,777,777,4,0.10642807185649872,19.86370277404785,0.0017970612841761774,0.0020765583030879498,7155.838215691296,7173.033728497103,7156.348608026747,7173.54961874662,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,1.1913999 1.194694 1.3484299 1.3531257 0.90966696 0.82061386 1.4033148 0.57098156 1.3051636 1.2730229 1.395169 1.4747119 1.4993581 1.413041 1.3295854 1.0783986 0.64983279 1.3087575 1.3692344 1.0246998 1.118353 1.0236269 1.4241014,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,5,777,777,5,0.042067840695381165,12.004680633544922,0.0018590880143973562,0.0020939623937010765,7150.166521890141,7173.258771246765,7150.669884101565,7173.7634677265305,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,1.2156422 1.2602669 1.3273467 1.2385626 1.1407021 0.94850624 1.306527 0.94805157 0.85179961 0.89749193 1.04687 0.81385577 1.3185496 0.94318616 1.3979883 0.96338618 1.3144757 0.61978817 0.75269181 1.2503054 0.96326959 1.0643708 1.288036,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,6,777,777,6,0.1027045026421547,9.261651992797852,0.0021072111040767697,0.0023866596166044474,7157.244562721138,7185.422469716286,7157.768825107875,7185.934389446629,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,1.4875896 0.55634624 0.54802525 0.56249672 0.71566838 1.0228667 0.72898012 0.72699392 1.3574409 0.78884995 1.2275565 1.0434581 1.2612567 0.71693569 0.8498984 1.4951041 1.4011451 1.2346096 1.2569444 1.2667824 1.0701795 0.72441673 0.9553622,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,7,777,777,7,0.056072577834129333,22.315507888793945,0.001886238654454549,0.0021890446078032255,7181.935244941593,7210.042117978446,7182.440013501845,7210.545912734233,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,1.2745924 0.92315024 0.52525806 0.82721144 1.1363438 0.97228891 1.478233 0.78578776 0.61070281 0.59975004 0.97915637 0.84380412 0.97642756 1.3209137 1.2883403 1.1856793 1.086677 0.97567314 1.1202348 0.50393724 0.6953823 1.4633485 1.3483073,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,8,777,777,8,0.06340385228395462,12.852359771728516,0.0019080309559487635,0.002281449269503355,7178.629022237146,7196.851527260151,7179.135488275077,7197.353934781859,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,0.80450106 0.52395022 0.93993008 0.76294929 1.2717659 1.2367275 0.58109593 1.0034984 0.98698014 0.87182796 0.99276906 0.81493819 1.2872008 0.67577368 0.9642787 1.1067331 1.0936894 1.4682226 0.99134457 1.1092128 0.61535603 0.86466944 1.2670417,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
fixed,128,9,777,777,9,0.09673012048006058,9.037443161010742,0.0017605004056046407,0.002011482138186693,7183.616149860124,7223.899413482286,7184.129990530589,7224.447583488654,,,0 15 30 45 60 75 90 105 120 135 150 165 5 20 35 50 65 80 95 110 125 140 155 170 10 25 40 55 70 85 100 115 130 145 160 175,1.1307913 0.86662328 0.6729638 0.59312028 0.52778244 0.53365195 1.0949318 1.4606755 1.3477811 1.362661 0.55574566 1.4140059 0.69138807 1.0187557 1.2610772 0.82953894 0.97888935 1.3291738 0.92498225 0.94340414 0.6090219 0.63192165 1.265272,,,,,,,2f352e558903,cpu,cpu:x86_64,,,,runs/scaling/n12/task_bank.npz,"{""basis_order"": [0, 1, 2], ""m_evo"": 5, ""n_qubits"": 12, ""name"": ""fixed""}"
