method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
fixed_optimized,128,0,777,777,0,0.02241102047264576,40.83372688293457,410.910731964072,0.0029660004656761885,3609.3211344559677,3633.9495005377103,4020.905301983779,3638.3162112906575,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258 0.83704144 1.068475 1.2997626 0.74138844 0.87031031 0.6049822 1.3703777 1.3830378 1.002712 1.2763438,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,1,777,777,1,0.03052920661866665,42.49044609069824,0.0017090157295266788,0.0020087172742933035,3606.077636621194,3626.4839507930446,3606.508153859371,3626.9189749727957,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,1.0395921 1.2360485 0.9308188 0.55752689 0.66605842 1.2574067 1.1799386 1.162603 0.66241294 0.57145286 1.4659351 1.4070764 1.3513761 0.87946749 1.04567,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,2,777,777,2,0.08283974975347519,49.317148208618164,0.0016419314003239076,0.0019362487364560366,3592.2750529943087,3607.8463419980835,3592.7004681046433,3608.272390993079,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,1.201529 0.60526031 0.54641145 1.431906 0.92167938 0.53384548 0.71983069 1.0112231 0.50755721 0.65716088 1.404991 1.3935405 1.2735277 0.69468212 0.98680145,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,3,777,777,3,0.07891222089529037,46.87004089355469,0.0016380896947036188,0.001959037035703659,3600.201486024566,3622.9047028173227,3600.6259378724885,3623.3289957745,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,0.98979658 0.82313424 0.60323358 1.3265618 0.62799102 0.7000187 0.67006999 1.0462751 1.3761123 1.3638419 1.1063143 1.3377858 1.0458208 1.0167228 0.79871416,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,4,777,777,4,0.0737643763422966,43.32912826538086,0.0015370476628757184,0.001896318281069398,3597.001166829917,3618.618397973478,3597.426214892443,3619.04225582839,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,1.3920144 1.2386929 1.2779019 0.57438517 0.63205171 0.66426176 0.81101805 1.2606668 1.0994213 0.75635308 0.78464842 1.1049166 0.66675216 0.7066173 1.2544253,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,5,777,777,5,0.08680044859647751,47.24799346923828,0.00159664584013323,0.0017882557585835457,3598.8994643945866,3618.147515284363,3599.323430987877,3618.567861005431,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,0.63377964 0.65775639 0.54327953 0.84943187 0.61126852 0.65504944 1.2594967 1.0214751 1.0263101 1.4638999 0.84659028 0.52084029 0.72223943 0.82808518 0.65774322,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,6,777,777,6,0.029757507145404816,34.12126350402832,0.001617005586417185,0.001865497324615717,3610.6301190803706,3630.8345170109533,3611.0542113892734,3631.251008802792,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,0.72816622 0.96273756 1.1913999 1.194694 1.3484299 1.3531257 0.90966696 1.3466882 1.2529315 0.87741637 1.0410113 1.2955431 1.3384341 1.3633698 0.966833,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,7,777,777,7,0.10946030914783478,44.77833938598633,0.0016587016741848653,0.001968757715076208,3597.8270832630287,3615.539149235701,3598.2492524587237,3615.9634377690963,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,0.82061386 1.4033148 0.57098156 1.3051636 1.2730229 1.395169 1.2156422 1.3701001 0.83981687 0.97919786 0.51473743 1.2687132 1.4169451 1.3137031 0.52009165,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,8,777,777,8,0.09157298505306244,51.40398025512695,0.0015559328150831992,0.0017730053514242172,3590.1779549442126,3608.825491479365,3590.5955362411787,3609.2382430215366,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,1.2602669 1.3273467 1.2385626 1.1407021 0.94850624 1.306527 0.94805157 1.067629 1.2427925 0.74176133 0.58557481 0.79956305 0.59954894 0.55338192 1.3674217,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
fixed_optimized,128,9,777,777,9,0.10216169059276581,52.42227554321289,0.001506346355502804,0.0018562714103609324,3588.5539661362095,3609.0068997291382,3588.980065332079,3609.433539706515,,,14 119 44 114 9 74 88 103 58 28 68 38 83 53 98 23 43 73 9 114 104 14 119 29 53 83 68 38 23 98 88 58 9 114 103 43,0.85179961 0.89749193 1.04687 1.4875896 0.55634624 0.54802525 0.56249672 1.141934 1.4862765 1.0173389 0.86550862 1.3289196 1.3443165 1.4552704 0.59719807,,,,,,,897f5b8196d5,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""fixed_optimized"", ""non_adaptive"": true, ""objective"": ""prior_center_fisher_logdet"", ""ridge"": 0.0001}"
