method,shots,episode_idx,seed,eval_seed,task_id,final_mse,total_info_gain,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse,mse_crlb_ratio,actions,true_theta,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params
random,128,0,777,777,0,0.05677665024995804,38.39564514160156,0.015252214830575718,0.017685466445982456,3515.5119638430833,3633.995935204439,3516.7948336941968,3640.321962768212,,,108 73 42 45 11 72 54 115 38 23 37 40 41 68 50 64 59 88 6 51 113 6 73 19 75 90 61 81 63 84 50 12 4 5 48 111,1.1110939 0.88281661 1.1000705 1.4635578 0.69616258 0.83704144 1.068475 1.2997626 0.74138844 0.87031031 0.6049822 1.3703777 1.3830378 1.002712 1.2763438,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,1,777,777,1,0.05017722398042679,34.44881820678711,0.015150813851505518,0.016718782717362046,3644.609173103365,3706.803924200358,3645.0398539374064,3707.232698536245,,,71 50 52 4 32 26 30 58 98 38 73 12 106 99 77 15 1 24 61 20 29 107 24 88 70 93 21 8 117 15 5 19 64 37 118 16,1.0395921 1.2360485 0.9308188 0.55752689 0.66605842 1.2574067 1.1799386 1.162603 0.66241294 0.57145286 1.4659351 1.4070764 1.3513761 0.87946749 1.04567,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,2,777,777,2,0.1663789302110672,34.867692947387695,0.01583110942091379,0.019103550584986806,3617.382721981913,3655.61044975766,3617.8192647866026,3656.0478202591185,,,43 18 94 5 11 41 103 13 113 18 13 91 17 27 21 55 13 82 34 83 29 101 39 102 83 49 117 38 88 108 99 8 52 96 33 92,1.201529 0.60526031 0.54641145 1.431906 0.92167938 0.53384548 0.71983069 1.0112231 0.50755721 0.65716088 1.404991 1.3935405 1.2735277 0.69468212 0.98680145,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,3,777,777,3,0.053843725472688675,28.32439422607422,0.015402112492463656,0.016631762264296412,3622.7271175270694,3661.994484049501,3623.1638855242636,3662.4453559634276,,,93 107 35 85 96 91 100 99 2 88 71 76 95 53 71 96 76 53 103 42 72 47 27 65 100 118 1 6 106 5 91 7 91 25 73 62,0.98979658 0.82313424 0.60323358 1.3265618 0.62799102 0.7000187 0.67006999 1.0462751 1.3761123 1.3638419 1.1063143 1.3377858 1.0458208 1.0167228 0.79871416,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,4,777,777,4,0.05281652510166168,29.504901885986328,0.015773564680582948,0.016611273167654872,3519.016739482241,3644.8006527789403,3519.481597804568,3645.246507250704,,,110 27 79 27 92 102 116 34 5 87 90 92 19 50 17 3 101 39 116 76 64 56 45 117 25 34 10 13 64 11 11 57 11 36 64 2,1.3920144 1.2386929 1.2779019 0.57438517 0.63205171 0.66426176 0.81101805 1.2606668 1.0994213 0.75635308 0.78464842 1.1049166 0.66675216 0.7066173 1.2544253,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,5,777,777,5,0.0135940071195364,31.24152374267578,0.01563596500394245,0.017748301615938544,3533.517702253044,3689.785907190526,3533.954281579807,3690.2221967757214,,,44 52 80 31 92 92 42 88 3 9 73 60 58 58 2 44 103 59 92 75 19 43 66 20 26 11 112 3 20 4 9 71 32 115 100 101,0.63377964 0.65775639 0.54327953 0.84943187 0.61126852 0.65504944 1.2594967 1.0214751 1.0263101 1.4638999 0.84659028 0.52084029 0.72223943 0.82808518 0.65774322,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,6,777,777,6,0.11703832447528839,45.00334358215332,0.01530013913806114,0.01672373036853969,3663.851754697842,3710.6094559421763,3664.2864506251904,3711.05384270777,,,68 103 108 6 57 66 43 55 90 98 113 111 46 36 62 115 4 67 24 84 15 34 91 67 6 108 66 37 13 46 12 1 66 70 77 119,0.72816622 0.96273756 1.1913999 1.194694 1.3484299 1.3531257 0.90966696 1.3466882 1.2529315 0.87741637 1.0410113 1.2955431 1.3384341 1.3633698 0.966833,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,7,777,777,7,0.12152028828859329,30.001474380493164,0.015470280130911205,0.016571342712268233,3648.557670019929,3684.5864324714057,3648.9948397728667,3685.025075712474,,,6 90 51 6 7 95 37 115 30 29 117 8 100 52 24 32 30 6 69 4 67 10 34 81 103 65 72 42 108 116 25 56 24 58 60 90,0.82061386 1.4033148 0.57098156 1.3051636 1.2730229 1.395169 1.2156422 1.3701001 0.83981687 0.97919786 0.51473743 1.2687132 1.4169451 1.3137031 0.52009165,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,8,777,777,8,0.07720618695020676,33.776126861572266,0.015102608206992349,0.01643103314563632,3657.238255229054,3704.8979464452714,3657.6689111728533,3705.340794986114,,,33 93 83 57 78 20 89 55 45 47 110 97 108 30 92 19 119 61 93 100 60 55 100 64 20 33 57 105 118 7 88 89 53 60 48 92,1.2602669 1.3273467 1.2385626 1.1407021 0.94850624 1.306527 0.94805157 1.067629 1.2427925 0.74176133 0.58557481 0.79956305 0.59954894 0.55338192 1.3674217,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,9,777,777,9,0.0695803090929985,31.739105224609375,0.01552626619943314,0.016498524928465486,3637.0225315816547,3675.529843720142,3637.45986477847,3675.9625730628613,,,92 20 42 18 82 87 118 89 17 33 23 1 39 91 74 95 43 99 1 89 17 37 43 47 79 107 46 67 110 27 28 114 9 20 2 43,0.85179961 0.89749193 1.04687 1.4875896 0.55634624 0.54802525 0.56249672 1.141934 1.4862765 1.0173389 0.86550862 1.3289196 1.3443165 1.4552704 0.59719807,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
random,128,10,777,777,10,0.1692853420972824,30.617530822753906,0.015146852496804463,0.01659899135120213,3654.94154690532,3679.6651687764097,3655.3769856497333,3680.08716579061,,,72 111 11 74 33 74 112 61 4 84 24 92 82 63 0 37 9 29 12 97 75 77 62 35 9 12 4 26 117 101 93 86 97 50 108 99,0.71566838 1.0228667 0.72898012 0.72699392 1.3574409 0.78884995 1.2275565 1.3150188 0.80371761 1.4224033 1.1227113 0.54140079 0.65096754 0.9054296 1.2582684,,,,,,,7d1e40cf14d9,cpu,cpu:x86_64,,,,runs/scaling/n8/task_bank.npz,"{""n_actions"": 120, ""name"": ""random""}"
